epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,1,5e-08,4.30294,5.82236,2.78352,1,0,0,0,0,0,0.01,0,14685.8,1,1,318.605,0.999859,318.56,1.54188,1.29712,330.5,4.30294
0,2,1e-07,2.58595,5.82236,2.91001,1,0,0,0,0,0,0.01,0,17611.2,1,1,94.5122,0.999425,94.4579,14.0353,0.142498,679,2.58595
0,3,1.5e-07,3.06349,4.20261,1.92436,1,0,0,0,0,0,0.01,0.0909091,17614.3,1,1,125.361,0.999518,125.3,15.3078,0.130652,615.5,3.06349
0,4,2e-07,2.69467,1.4147,3.97465,1,0,0,0,0,0,0.01,0.166667,17610.7,1,1,95.4441,0.999383,95.3852,15.9307,0.125544,685,2.69467
0,5,2.5e-07,1.92656,1.88626,3.97465,1,0,0,0,0,0,0.01,0.230769,17605.2,1,1,45.4087,0.998915,45.3594,16.0544,0.124576,820,1.92656
0,6,3e-07,2.53934,1.88626,1.64528,1,4.75036e-11,0,0,4.98502e-07,0,0.01,0.285714,17602.9,1,1,97.1685,0.999513,97.1212,15.1194,0.132281,706,2.53934
0,7,3.5e-07,3.57577,1.88626,1.52378,1,-0.000322986,0,0.00107733,0.00130554,0,0.01,0.333333,17606.9,1,1,251.625,0.999853,251.588,15.9571,0.125336,523.5,3.57577
0,8,4e-07,3.58742,1.88626,1.52378,1,6.75593e-10,0,0,9.97121e-06,0,0.01,0.375,17603.4,1,1,187.282,0.999755,187.236,16.1133,0.124121,492.5,3.58742
0,9,4.5e-07,2.93952,2.08469,1.52378,1,-0.00176372,0,0.00589648,0.00588671,0,0.01,0.411765,17605.3,1,1,134.069,0.999591,134.014,15.7353,0.127103,603,2.9395
0,10,5e-07,3.29011,2.08469,1.52378,1,-0.00184198,0,0.00615934,0.00641789,0,0.01,0.444444,17603.8,1,1,175.873,0.999675,175.816,15.9853,0.125115,529.5,3.29009
0,11,5.5e-07,5.14128,2.08469,1.52378,1,-0.00332179,0,0.0111014,0.0111101,0,0.01,0.473684,17601.7,1,1,342.292,0.999807,342.226,15.3228,0.130525,151,5.14125
0,12,6e-07,5.15373,4.92066,1.52378,1,-0.00243053,0,0.00811884,0.00789597,0,0.01,0.5,17607.4,1,1,359.999,0.999827,359.937,15.7515,0.126972,193,5.15371
0,13,6.5e-07,3.82993,2.41104,1.52378,1,-0.00298144,0,0.00996431,0.0104235,0,0.01,0.523809,17604.7,1,1,221.512,0.999753,221.457,15.0859,0.132574,432,3.8299
0,14,7e-07,3.12252,2.41104,1.52378,1,-0.0034883,0,0.0116598,0.0117049,0,0.01,0.545455,17604.4,1,1,173.61,0.999728,173.563,15.4911,0.129106,565,3.12248
0,15,7.5e-07,2.53788,2.86157,2.21418,1,-0.00359877,0,0.0120311,0.0120111,0,0.01,0.565217,17607.5,1,1,132.005,0.999696,131.965,15.6535,0.127767,651.5,2.53784
