epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,1,5e-08,4.29614,5.7046,2.88767,1,0,0,0,0,0,0.01,0,12453.9,1,1,5.17882,0.032446,0.168032,1.65757,1.20659,330.5,4.29614
0,2,1e-07,2.44371,5.7046,2.75688,1,0,0,0,0,0,0.01,0,13324.2,1,1,3.05766,0.0520533,0.159161,13.4958,0.148194,679,2.44371
0,3,1.5e-07,2.87806,3.95836,1.79777,1,0,0,0,0,0,0.01,0.0909091,13321.1,1,1,3.67328,0.0448465,0.164734,13.8745,0.144149,615.5,2.87806
0,4,2e-07,2.84287,1.3999,4.28584,1,0,0,0,0,0,0.01,0.166667,13323.3,1,1,3.51525,0.045937,0.16148,13.6269,0.146768,685,2.84287
0,5,2.5e-07,1.94537,1.94514,4.28584,1,0,0,0,0,0,0.01,0.230769,13321.4,1,1,2.13508,0.061588,0.131495,13.9188,0.14369,820,1.94537
0,6,3e-07,2.56827,1.94514,1.76838,1,-0.00166256,0,0.00555718,0.00558431,0,0.01,0.285714,13320.1,1,1,3.04992,0.0514142,0.156809,14.0233,0.142619,706,2.56825
0,7,3.5e-07,3.55528,1.94514,1.46413,1,0,0,0,0,0,0.01,0.333333,13320.3,1,1,4.31335,0.0347373,0.149834,13.9918,0.142941,523.5,3.55528
0,8,4e-07,3.71436,1.94514,1.46413,1,0,0,0,0,0,0.01,0.375,13320.4,1,1,4.29148,0.0389067,0.166968,13.7217,0.145755,492.5,3.71436
0,9,4.5e-07,2.90341,2.17058,1.46413,1,-0.000627375,0,0.00209566,0.00298613,0,0.01,0.411765,13320.4,1,1,3.75594,0.044966,0.16889,13.8238,0.144678,603,2.9034
0,10,5e-07,3.39598,2.17058,1.46413,1,-6.27578e-06,0,2.09316e-05,4.65397e-05,0,0.01,0.444444,13320.4,1,1,4.52393,0.0423605,0.191636,14.0116,0.142738,529.5,3.39598
