epoch,step,lr,cfm,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,1,5e-08,4.27764,0,8544.9,1,1,321.546,0.999877,321.507,2.02098,0.98962,330.5,4.27764
0,2,1e-07,2.59943,0,11467.7,1,1,91.4456,0.999431,91.3936,28.2703,0.0707457,679,2.59943
0,3,1.5e-07,3.03257,0.0909091,11464.9,1,1,129.417,0.999599,129.365,30.3827,0.065827,615.5,3.03257
0,4,2e-07,2.67131,0.166667,11465.9,1,1,96.335,0.999426,96.2798,29.8743,0.0669472,685,2.67131
0,5,2.5e-07,1.91607,0.230769,11464.8,1,1,45.6386,0.998868,45.587,29.2723,0.0683241,820,1.91607
0,6,3e-07,2.50026,0.285714,11466.1,1,1,101.839,0.999549,101.793,29.2265,0.068431,706,2.50026
0,7,3.5e-07,3.58209,0.333333,11463.8,1,1,256.158,0.999879,256.127,30.0942,0.066458,523.5,3.58209
0,8,4e-07,3.52813,0.375,11467.8,1,1,185.332,0.999752,185.286,30.0224,0.066617,492.5,3.52813
0,9,4.5e-07,2.88375,0.411765,11467.4,1,1,139.781,0.99963,139.729,29.1355,0.0686448,603,2.88375
0,10,5e-07,3.29387,0.444444,11462.8,1,1,185.836,0.999723,185.785,29.1716,0.0685598,529.5,3.29387
0,11,5.5e-07,5.14646,0.473684,11464.8,1,1,351.434,0.999824,351.372,30.1196,0.066402,151,5.14646
0,12,6e-07,5.16022,0.5,11463.3,1,1,359.948,0.999819,359.882,30.0015,0.0666633,193,5.16022
0,13,6.5e-07,3.84055,0.523809,11465.1,1,1,230.808,0.999788,230.759,30.552,0.0654622,432,3.84055
0,14,7e-07,3.14315,0.545455,11460.8,1,1,177.158,0.999749,177.113,30.1723,0.066286,565,3.14315
0,15,7.5e-07,2.49514,0.565217,11461.2,1,1,122.232,0.999631,122.187,29.5762,0.0676219,651.5,2.49514
0,16,8e-07,3.32477,0.583333,11462.8,1,1,258.937,0.999829,258.893,29.9792,0.066713,498.5,3.32477
0,17,8.5e-07,3.47944,0.6,11465.4,1,1,289.326,0.999854,289.284,29.1151,0.0686929,466.5,3.47944
0,18,9e-07,4.76519,0.615385,11464.8,1,1,384.263,0.999877,384.215,30.3416,0.0659161,223.5,4.76519
0,19,9.5e-07,1.85526,0.62963,11460.4,1,1,53.6913,0.99927,53.6521,28.2286,0.0708501,804.5,1.85526
0,20,1e-06,2.1584,0.642857,11463.8,1,1,100.955,0.999702,100.924,29.9735,0.0667257,762.5,2.1584
0,21,1.05e-06,3.6089,0.655172,11467.1,1,1,382.901,0.999906,382.864,30.0926,0.0664615,429.5,3.6089
0,22,1.1e-06,3.48095,0.666667,11462.7,1,1,386.269,0.999918,386.237,30.0261,0.0666087,465,3.48095
0,23,1.15e-06,2.42422,0.677419,11463.9,1,1,116.959,0.999702,116.924,29.9063,0.0668755,657.5,2.42422
0,24,1.2e-06,2.35867,0.6875,11461,1,1,115.921,0.999714,115.888,29.2331,0.0684155,662.5,2.35867
0,25,1.25e-06,4.47712,0.69697,11461.8,1,1,482.718,0.99991,482.675,29.9847,0.0667007,237.5,4.47712
0,26,1.3e-06,1.57117,0.705882,11459.1,1,1,29.3699,0.998552,29.3274,29.6663,0.0674165,836,1.57117
0,27,1.35e-06,3.77826,0.714286,11462,1,1,305.298,0.999871,305.259,30.0049,0.0666558,380.5,3.77826
0,28,1.4e-06,2.86951,0.722222,11459.5,1,1,219.554,0.999866,219.524,30.0436,0.06657,592,2.86951
0,29,1.45e-06,3.14808,0.72973,11462.2,1,1,259.887,0.999875,259.855,29.7108,0.0673156,477,3.14808
0,30,1.5e-06,4.2334,0.736842,11459.6,1,1,380.24,0.999882,380.195,29.9557,0.0667652,208.5,4.2334
0,31,1.55e-06,3.90727,0.74359,11458.6,1,1,383.007,0.999901,382.969,29.2484,0.0683797,320.5,3.90727
0,32,1.6e-06,2.9935,0.75,11457.3,1,1,279.61,0.999912,279.585,29.3167,0.0682206,551.5,2.9935
0,33,1.65e-06,2.84918,0.756098,11462.4,1,1,40.9674,0.997073,40.8475,29.0165,0.0689262,517.5,2.84918
0,34,1.7e-06,2.03698,0.761905,11463.6,1,1,281.988,0.999977,281.981,28.3659,0.0705072,681.5,2.03698
0,35,1.75e-06,4.19145,0.767442,11463.6,1,1,437.374,0.999917,437.338,30.178,0.0662735,202,4.19145
0,36,1.8e-06,2.62529,0.772727,11458.8,1,1,200.87,0.999925,200.855,29.9148,0.0668565,552,2.62529
0,37,1.85e-06,2.14145,0.777778,11461.7,1,1,343.851,0.999982,343.845,30.0518,0.0665517,655,2.14145
0,38,1.9e-06,3.97477,0.782609,11463.5,1,1,414.856,0.999931,414.827,30.2954,0.0660166,239,3.97477
0,39,1.95e-06,1.97632,0.787234,11460,1,1,380.434,0.999988,380.43,29.7759,0.0671684,698,1.97632
0,40,2e-06,3.30304,0.791667,11459,1,1,199.649,0.999799,199.609,30.3757,0.0658422,380.5,3.30304
0,41,2.05e-06,2.60812,0.795918,11459.2,1,1,272.906,0.999961,272.896,29.0228,0.0689114,524.5,2.60812
0,42,2.1e-06,2.12764,0.8,11463.9,1,1,335.78,0.999984,335.774,30.29,0.0660285,648.5,2.12764
0,43,2.15e-06,2.86559,0.803922,11458.8,1,1,135.304,0.999658,135.257,30.2485,0.0661191,524,2.86559
0,44,2.2e-06,2.85698,0.807692,11460.9,1,1,273.291,0.999959,273.28,30.3528,0.0658917,480.5,2.85698
0,45,2.25e-06,3.47688,0.811321,11463,1,1,235.118,0.999834,235.079,30.2801,0.0660499,293,3.47688
0,46,2.3e-06,2.6392,0.814815,11462.4,1,1,284.393,0.999969,284.384,30.2454,0.0661257,545,2.6392
0,47,2.35e-06,2.52818,0.818182,11465,1,1,294.428,0.999972,294.42,30.5981,0.0653634,545,2.52818
0,48,2.4e-06,3.78258,0.821429,11460.1,1,1,139.345,0.999501,139.275,30.5941,0.0653721,232.5,3.78258
