epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,1,5e-08,4.27764,0,0,0,0,0,0,14685.8,1,1,321.546,0.999877,321.507,1.92235,1.04039,330.5,4.27764
0,2,1e-07,2.59943,0,0,0,0,0,0,17611.2,1,1,91.4456,0.999431,91.3936,15.5307,0.128777,679,2.59943
0,3,1.5e-07,3.03252,0,0,0,0,0,0.0909091,17614.3,1,1,129.484,0.9996,129.433,16.3763,0.122128,615.5,3.03252
0,4,2e-07,2.67123,0,0,0,0,0,0.166667,17610.7,1,1,96.3156,0.999426,96.2603,16.3435,0.122373,685,2.67123
0,5,2.5e-07,1.91599,0,0,0,0,0,0.230769,17605.2,1,1,45.6366,0.998868,45.5849,16.3926,0.122006,820,1.91599
0,6,3e-07,2.50039,0,0,0,0,0,0.285714,17602.9,1,1,101.841,0.999548,101.795,16.4201,0.121802,706,2.50039
0,7,3.5e-07,3.58186,0,0,0,0,0,0.333333,17606.9,1,1,256.157,0.999879,256.126,16.1617,0.123749,523.5,3.58186
0,8,4e-07,3.52816,-0.00118985,0,0.00397196,0.0048302,0,0.375,17603.4,1,1,185.386,0.999752,185.34,16.1181,0.124084,492.5,3.52815
0,9,4.5e-07,2.88367,-0.0017571,0,0.00587349,0.00579034,0,0.411765,17605.3,1,1,139.785,0.99963,139.733,16.1633,0.123737,603,2.88365
0,10,5e-07,3.29383,-0.00023183,0,0.000773058,0.000653977,0,0.444444,17603.8,1,1,185.839,0.999723,185.787,16.2911,0.122766,529.5,3.29383
0,11,5.5e-07,5.14643,-6.69605e-05,0,0.000223788,0.000809775,0,0.473684,17601.7,1,1,351.548,0.999824,351.486,16.4317,0.121716,151,5.14642
0,12,6e-07,5.16038,-0.00061212,0,0.00204348,0.00263031,0,0.5,17607.4,1,1,359.953,0.999819,359.888,16.3996,0.121954,193,5.16038
0,13,6.5e-07,3.84074,-0.00350496,0,0.0117143,0.0114646,0,0.523809,17604.7,1,1,230.82,0.999788,230.771,16.1963,0.123485,432,3.8407
0,14,7e-07,3.143,-0.00351376,0,0.011745,0.0117454,0,0.545455,17604.4,1,1,177.156,0.999749,177.111,16.4318,0.121715,565,3.14297
0,15,7.5e-07,2.49514,-0.00354118,0,0.0118359,0.0116602,0,0.565217,17607.5,1,1,122.223,0.99963,122.178,16.3519,0.12231,651.5,2.49511
0,16,8e-07,3.32483,-0.00358699,0,0.011991,0.0120232,0,0.583333,17599.5,1,1,258.964,0.999829,258.919,16.3996,0.121954,498.5,3.3248
0,17,8.5e-07,3.47955,-0.00378343,0,0.0126462,0.0121449,0,0.6,17603.6,1,1,289.306,0.999854,289.263,16.3569,0.122272,466.5,3.47951
